dataset,language_pair,model_a,model_b,num_sample,num_outperform_sample
europarl-v7,cs-en,proposal10_128,baseline,25,17
europarl-v7,cs-en,proposal10_16,baseline,25,10
europarl-v7,cs-en,proposal10_32,baseline,25,12
europarl-v7,cs-en,proposal10_64,baseline,25,13
europarl-v7,cs-en,proposal10_96,baseline,25,13
europarl-v7,cs-en,proposal9_128,baseline,25,20
europarl-v7,cs-en,proposal9_16,baseline,25,8
europarl-v7,cs-en,proposal9_32,baseline,25,12
europarl-v7,cs-en,proposal9_64,baseline,25,15
europarl-v7,cs-en,proposal9_96,baseline,25,20
europarl-v7,de-en,proposal10_128,baseline,25,18
europarl-v7,de-en,proposal10_16,baseline,25,0
europarl-v7,de-en,proposal10_32,baseline,25,5
europarl-v7,de-en,proposal10_64,baseline,25,10
europarl-v7,de-en,proposal10_96,baseline,25,15
europarl-v7,de-en,proposal9_128,baseline,25,19
europarl-v7,de-en,proposal9_16,baseline,25,7
europarl-v7,de-en,proposal9_32,baseline,25,7
europarl-v7,de-en,proposal9_64,baseline,25,3
europarl-v7,de-en,proposal9_96,baseline,25,12
europarl-v7,fr-en,proposal10_128,baseline,25,16
europarl-v7,fr-en,proposal10_16,baseline,25,3
europarl-v7,fr-en,proposal10_32,baseline,25,4
europarl-v7,fr-en,proposal10_64,baseline,25,4
europarl-v7,fr-en,proposal10_96,baseline,25,7
europarl-v7,fr-en,proposal9_128,baseline,25,11
europarl-v7,fr-en,proposal9_16,baseline,25,4
europarl-v7,fr-en,proposal9_32,baseline,25,3
europarl-v7,fr-en,proposal9_64,baseline,25,12
europarl-v7,fr-en,proposal9_96,baseline,25,13
iwslt14.tokenized,de-en,proposal10_64,baseline,25,0
iwslt14.tokenized,de-en,proposal10_128,baseline,25,0
iwslt14.tokenized,de-en,proposal10_16,baseline,25,0
iwslt14.tokenized,de-en,proposal10_160,baseline,25,0
iwslt14.tokenized,de-en,proposal10_192,baseline,25,0
iwslt14.tokenized,de-en,proposal10_224,baseline,25,0
iwslt14.tokenized,de-en,proposal10_256,baseline,25,0
iwslt14.tokenized,de-en,proposal10_32,baseline,25,0
iwslt14.tokenized,de-en,proposal10_96,baseline,25,0
iwslt14.tokenized,de-en,proposal9_128,baseline,25,0
iwslt14.tokenized,de-en,proposal9_16,baseline,25,0
iwslt14.tokenized,de-en,proposal9_160,baseline,25,0
iwslt14.tokenized,de-en,proposal9_192,baseline,25,0
iwslt14.tokenized,de-en,proposal9_224,baseline,25,0
iwslt14.tokenized,de-en,proposal9_256,baseline,25,0
iwslt14.tokenized,de-en,proposal9_32,baseline,25,0
iwslt14.tokenized,de-en,proposal9_64,baseline,25,0
iwslt14.tokenized,de-en,proposal9_96,baseline,25,0
iwslt15.tokenized,en-vi,proposal10_64,baseline,25,1
iwslt15.tokenized,en-vi,proposal10_128,baseline,25,0
iwslt15.tokenized,en-vi,proposal10_16,baseline,25,0
iwslt15.tokenized,en-vi,proposal10_160,baseline,25,0
iwslt15.tokenized,en-vi,proposal10_192,baseline,25,0
iwslt15.tokenized,en-vi,proposal10_224,baseline,25,0
iwslt15.tokenized,en-vi,proposal10_256,baseline,25,0
iwslt15.tokenized,en-vi,proposal10_32,baseline,25,0
iwslt15.tokenized,en-vi,proposal10_96,baseline,25,0
iwslt15.tokenized,en-vi,proposal9_128,baseline,25,0
iwslt15.tokenized,en-vi,proposal9_16,baseline,25,0
iwslt15.tokenized,en-vi,proposal9_160,baseline,25,0
iwslt15.tokenized,en-vi,proposal9_192,baseline,25,0
iwslt15.tokenized,en-vi,proposal9_224,baseline,25,0
iwslt15.tokenized,en-vi,proposal9_256,baseline,25,0
iwslt15.tokenized,en-vi,proposal9_32,baseline,25,0
iwslt15.tokenized,en-vi,proposal9_64,baseline,25,3
iwslt15.tokenized,en-vi,proposal9_96,baseline,25,0
iwslt16.tokenized,en-fr,proposal10_64,baseline,25,0
iwslt16.tokenized,en-fr,proposal10_128,baseline,25,1
iwslt16.tokenized,en-fr,proposal10_16,baseline,25,0
iwslt16.tokenized,en-fr,proposal10_160,baseline,25,0
iwslt16.tokenized,en-fr,proposal10_192,baseline,25,0
iwslt16.tokenized,en-fr,proposal10_224,baseline,25,0
iwslt16.tokenized,en-fr,proposal10_256,baseline,25,0
iwslt16.tokenized,en-fr,proposal10_32,baseline,25,0
iwslt16.tokenized,en-fr,proposal10_96,baseline,25,0
iwslt16.tokenized,en-fr,proposal9_128,baseline,25,0
iwslt16.tokenized,en-fr,proposal9_16,baseline,25,0
iwslt16.tokenized,en-fr,proposal9_160,baseline,25,0
iwslt16.tokenized,en-fr,proposal9_192,baseline,25,0
iwslt16.tokenized,en-fr,proposal9_224,baseline,25,1
iwslt16.tokenized,en-fr,proposal9_256,baseline,25,0
iwslt16.tokenized,en-fr,proposal9_32,baseline,25,0
iwslt16.tokenized,en-fr,proposal9_64,baseline,25,0
iwslt16.tokenized,en-fr,proposal9_96,baseline,25,0
