epoch,loss,bleu
001,6.422,10.32
002,5.38,19.58
003,4.971,23.49
004,4.651,28.09
005,4.487,29.95
006,4.382,30.9
007,4.291,32.12
008,4.225,33.09
009,4.169,33.48
010,4.135,34.11
011,4.09,34.69
012,4.063,35
013,4.037,34.91
014,4.012,35.16
015,3.99,35.52
016,3.973,35.67
017,3.951,36.22
018,3.942,36.06
019,3.922,36.4
020,3.909,36.55
021,3.895,36.73
022,3.882,36.99
023,3.878,36.77
024,3.866,36.93
025,3.852,37.31
026,3.867,36.36
027,3.851,36.57
028,3.83,37.41
029,3.832,37.06
030,3.816,37.58
031,3.813,37.46
032,3.801,37.83
033,3.797,37.85
034,3.789,37.97
035,3.782,37.98
036,3.785,37.82
037,3.776,38.07
038,3.768,38.24
039,3.762,38.15
040,3.758,38.32
041,3.76,37.99
042,3.753,38.26
043,3.745,38.29
044,3.745,38.4
045,3.737,38.48
046,3.738,38.46
047,3.735,38.42
048,3.725,38.66
049,3.727,38.67
050,3.72,38.6
051,3.719,38.57
052,3.714,38.85
053,3.713,38.76
054,3.707,38.78
055,3.711,38.73
056,3.703,38.95
057,3.704,38.92
058,3.7,38.77
059,3.696,38.94
060,3.695,38.95
061,3.694,38.96
062,3.69,39
063,3.693,38.75
064,3.688,38.91
065,3.679,39.2
066,3.687,38.8
067,3.678,39.13
068,3.675,39.34
069,3.677,38.98
070,3.673,39.29
071,3.672,39.14
072,3.672,39.09
073,3.665,39.37
074,3.665,39.3
075,3.661,39.2
076,3.663,39.39
077,3.663,39.3
078,3.659,39.37
079,3.654,39.46
080,3.652,39.43
