epoch,loss,bleu
001,5.954,13.15
002,4.881,23.92
003,4.488,28.19
004,4.232,31.7
005,4.096,33.37
006,4.014,34.08
007,3.94,35.14
008,3.879,36.01
009,3.842,36.28
010,3.808,36.84
011,3.774,37.31
012,3.755,37.62
013,3.731,37.57
014,3.712,37.9
015,3.695,38.26
016,3.685,38.23
017,3.665,38.61
018,3.658,38.56
019,3.641,38.8
020,3.631,38.94
021,3.621,39.14
022,3.612,39.26
023,3.608,39.07
024,3.598,39.31
025,3.59,39.45
026,3.592,39.01
027,3.585,38.88
028,3.575,39.59
029,3.573,39.31
030,3.558,39.83
031,3.559,39.78
032,3.553,39.91
033,3.548,39.77
034,3.54,40.12
035,3.538,39.88
036,3.538,39.98
037,3.531,40.19
038,3.525,40.19
039,3.521,40.08
040,3.521,40.22
041,3.522,40.04
042,3.515,40.23
043,3.508,40.2
044,3.505,40.4
045,3.502,40.35
046,3.502,40.35
047,3.502,40.37
048,3.495,40.46
049,3.496,40.53
050,3.488,40.46
051,3.489,40.47
052,3.485,40.75
053,3.485,40.75
054,3.482,40.57
055,3.482,40.66
056,3.478,40.69
057,3.476,40.9
058,3.475,40.49
059,3.471,40.86
060,3.469,40.94
061,3.47,40.91
062,3.467,40.96
063,3.47,40.66
064,3.466,40.83
065,3.459,40.92
066,3.467,40.61
067,3.458,41.03
068,3.457,41.12
069,3.456,40.89
070,3.453,41.05
071,3.454,41.01
072,3.453,40.91
073,3.449,41.16
074,3.449,41.15
075,3.445,41.01
076,3.448,41.22
077,3.447,41.12
078,3.443,41.16
079,3.442,41.25
080,3.44,41.15
