epoch,loss,bleu
001,5.517,19.5
002,4.975,25
003,4.766,27.14
004,4.653,27.75
005,4.562,29.47
006,4.496,30.08
007,4.45,30.07
008,4.413,30.5
009,4.381,30.91
010,4.356,30.96
011,4.332,31.46
012,4.336,30.73
013,4.312,31.12
014,4.282,31.86
015,4.267,32.09
016,4.257,32.09
017,4.251,32.02
018,4.236,32.19
019,4.228,32.45
020,4.214,32.41
021,4.208,32.55
022,4.207,32.36
023,4.201,32.31
024,4.193,32.39
025,4.178,32.85
026,4.171,32.9
027,4.169,32.75
028,4.165,32.8
029,4.162,32.88
030,4.157,32.76
031,4.145,33.05
032,4.149,32.95
033,4.135,33.24
034,4.13,33.26
035,4.131,33.06
036,4.126,33.18
037,4.12,33.1
038,4.122,33.12
039,4.121,33.05
040,4.111,33.41
041,4.111,33.2
042,4.106,33.54
043,4.103,33.18
044,4.102,33.32
045,4.094,33.34
046,4.096,33.14
047,4.098,33.26
048,4.087,33.36
049,4.086,33.43
