epoch,loss,bleu
001,5.077,22.66
002,4.587,27.88
003,4.414,29.46
004,4.32,30.16
005,4.239,31.61
006,4.182,32.24
007,4.144,32.3
008,4.116,32.54
009,4.091,32.9
010,4.074,32.91
011,4.051,33.35
012,4.057,32.69
013,4.035,33.01
014,4.01,33.63
015,3.999,33.71
016,3.992,33.78
017,3.987,33.74
018,3.974,33.85
019,3.968,34.14
020,3.957,34.06
021,3.951,34.22
022,3.95,33.95
023,3.946,33.97
024,3.94,33.99
025,3.931,34.37
026,3.922,34.43
027,3.921,34.27
028,3.919,34.3
029,3.917,34.38
030,3.913,34.3
031,3.904,34.47
032,3.906,34.48
033,3.894,34.75
034,3.89,34.75
035,3.893,34.57
036,3.888,34.6
037,3.885,34.62
038,3.884,34.68
039,3.885,34.38
040,3.877,34.82
041,3.875,34.69
042,3.872,34.96
043,3.87,34.67
044,3.869,34.81
045,3.863,34.8
046,3.863,34.63
047,3.869,34.63
048,3.856,34.84
049,3.858,34.92
