epoch,loss,bleu
001,5.147,25.92
002,4.706,30.92
003,4.522,32.8
004,4.473,32.21
005,4.355,34.2
006,4.307,35.04
007,4.28,34.61
008,4.242,35.39
009,4.217,35.53
010,4.19,35.79
011,4.178,35.88
012,4.17,35.58
013,4.148,35.8
014,4.141,36.05
015,4.124,36.33
016,4.113,36.52
017,4.101,36.56
018,4.102,36.42
019,4.086,36.66
020,4.08,36.53
021,4.073,36.57
022,4.066,36.79
023,4.057,36.75
024,4.053,36.76
025,4.05,36.7
026,4.039,37.11
027,4.036,37.17
028,4.039,36.81
029,4.032,37.02
030,4.02,37.16
031,4.019,37.31
032,4.014,37.28
033,4.012,37.12
034,4.012,37.17
035,4.008,37.1
036,4.004,37.4
037,4.004,37.18
038,3.993,37.49
039,3.985,37.41
040,3.993,37.4
041,4.001,37.12
042,3.994,37.15
043,3.983,37.46
044,3.982,37.41
045,3.975,37.56
046,3.971,37.61
047,3.972,37.55
048,3.972,37.6
049,3.964,37.56
050,3.966,37.58
051,3.963,37.75
052,3.956,37.77
053,3.963,37.59
054,3.957,37.79
055,3.954,37.82
056,3.949,37.87
057,3.955,37.66
058,3.948,37.75
059,3.948,37.77
060,3.95,37.71
061,3.945,37.65
062,3.94,37.88
063,3.938,37.9
064,3.94,37.85
065,3.943,37.7
066,3.941,37.84
067,3.937,37.84
068,3.934,37.75
069,3.938,37.84
070,3.935,37.85
