epoch,loss,bleu
001,4.829,28.79
002,4.439,33.12
003,4.287,34.51
004,4.242,34.01
005,4.14,35.77
006,4.102,36.4
007,4.074,35.97
008,4.044,36.69
009,4.023,36.85
010,4,37
011,3.987,37.05
012,3.982,36.72
013,3.962,37.02
014,3.956,37.28
015,3.942,37.49
016,3.934,37.59
017,3.924,37.7
018,3.923,37.57
019,3.909,37.77
020,3.902,37.67
021,3.897,37.73
022,3.896,37.78
023,3.887,37.78
024,3.881,37.83
025,3.881,37.8
026,3.869,38.12
027,3.87,38.2
028,3.871,37.85
029,3.867,38
030,3.855,38.23
031,3.856,38.31
032,3.849,38.24
033,3.847,38.11
034,3.849,38.19
035,3.845,38.11
036,3.84,38.36
037,3.842,38.15
038,3.833,38.46
039,3.827,38.46
040,3.831,38.37
041,3.839,38.05
042,3.833,38.12
043,3.822,38.41
044,3.82,38.4
045,3.815,38.45
