epoch,loss,bleu
001,8.949,0.53
002,7.988,1.93
003,7.307,4.29
004,6.735,5.97
005,6.361,8.34
006,6.107,11.7
007,5.931,12.65
008,5.747,14.18
009,5.586,16.39
010,5.494,16.49
011,5.368,18.33
012,5.298,19.27
013,5.228,19.95
014,5.17,20.32
015,5.117,20.59
016,5.103,20.71
017,5.029,21.92
018,5.006,22.4
019,4.956,22.98
020,4.928,23.24
021,4.92,23.22
022,4.887,23.53
023,4.849,24.13
024,4.843,24.42
025,4.903,22.6
026,4.801,24.25
027,4.778,24.66
028,4.798,24.67
029,4.763,25.25
030,4.749,24.79
031,4.731,25.47
032,4.728,25.71
033,4.714,25.85
034,4.716,25.44
035,4.684,26.03
036,4.683,26.05
037,4.656,25.95
038,4.657,26.08
039,4.669,25.46
040,4.631,26.48
041,4.629,26.5
042,4.646,26.84
043,4.622,26.51
044,4.609,26.62
045,4.608,26.69
046,4.591,26.85
047,4.581,26.64
048,4.585,27.04
049,4.582,26.77
050,4.582,27.04
051,4.58,27.07
052,4.572,27.26
053,4.562,26.99
054,4.554,27.14
055,4.556,27.42
056,4.539,27.36
057,4.529,27.39
058,4.543,27.19
059,4.528,27.23
060,4.536,27.58
