epoch,loss,bleu
001,7.512,2.67
002,6.212,9.91
003,5.647,12.71
004,5.228,18.1
005,5.002,20.62
006,4.87,21.46
007,4.766,22.88
008,4.69,23.81
009,4.647,24.21
010,4.595,24.8
011,4.563,25.29
012,4.534,25.59
013,4.518,26.26
014,4.49,26.28
015,4.484,26.42
016,4.459,26.75
017,4.447,26.76
018,4.44,26.92
019,4.433,27.23
020,4.438,27.1
021,4.429,27.44
022,4.413,27.67
023,4.416,27.2
024,4.409,27.92
025,4.407,27.75
026,4.413,27.38
027,4.411,27.64
028,4.41,27.83
029,4.407,27.69
030,4.407,27.72
031,4.401,28.21
032,4.404,28.01
033,4.405,27.82
034,4.406,27.97
035,4.405,28.13
036,4.405,28.14
037,4.401,28.3
038,4.406,28.27
039,4.403,28.35
040,4.405,28.14
041,4.407,28.24
042,4.404,28.06
043,4.41,28.22
044,4.404,28.34
045,4.408,28.15
046,4.41,28.18
