epoch,loss,bleu
001,8.802,1.01
002,7.864,2.68
003,7.213,5.29
004,6.64,7.47
005,6.236,10.15
006,6.023,12.49
007,5.881,13.79
008,5.665,15.26
009,5.542,16.43
010,5.44,16.99
011,5.333,18.44
012,5.276,19.19
013,5.224,19.63
014,5.184,19.62
015,5.129,20.01
016,5.091,20.6
017,5.04,21
018,5.023,21.73
019,4.99,21.89
020,4.969,22.05
021,4.963,21.89
022,4.931,22.85
023,4.902,22.72
024,4.882,23.16
025,4.963,21.36
026,4.849,23.24
027,4.832,23.28
028,4.846,23.36
029,4.809,23.64
030,4.81,23.56
031,4.801,24.16
032,4.789,24.4
033,4.783,24.36
034,4.777,23.92
035,4.762,24.53
036,4.747,24.58
037,4.732,24.44
038,4.727,24.76
039,4.744,24.09
040,4.713,25.03
041,4.707,25.1
042,4.713,25.01
043,4.705,24.79
044,4.689,24.97
045,4.686,25.13
046,4.679,25.12
047,4.662,25.11
048,4.679,25.36
049,4.663,25.4
050,4.667,25.49
051,4.66,25.29
052,4.661,25.67
053,4.645,25.64
054,4.634,25.62
055,4.646,25.58
056,4.632,25.76
057,4.626,25.68
058,4.64,25.28
059,4.62,25.71
060,4.634,26.02
