epoch,loss,bleu
001,9.376,0.9
002,8.278,1.36
003,7.584,2.64
004,7.099,5.24
005,6.72,7.14
006,6.587,7.99
007,6.256,10.6
008,6.165,9.89
009,5.966,12.94
010,5.86,13.85
011,5.736,14.87
012,5.691,15.42
013,5.825,14.12
014,5.554,16.95
015,5.516,17.35
016,5.426,18.15
017,5.412,18.2
018,5.358,18.82
019,5.317,19.18
020,5.316,18.99
021,5.275,19.79
022,5.309,18.44
023,5.243,19.96
024,5.194,20.27
025,5.181,20.87
026,5.168,20.24
027,5.138,20.97
028,5.152,20.98
029,5.133,21.21
030,5.107,21.6
031,5.082,21.75
032,5.154,20.85
033,5.059,22.31
034,5.068,21.86
035,5.056,22.07
036,5.064,21.54
037,5.017,22.51
038,5.05,22.21
039,5.013,22.8
040,5.038,22.09
041,4.988,23.17
042,4.999,22.92
043,4.989,22.75
044,4.99,22.79
045,4.979,22.97
046,4.983,22.85
047,4.954,23.53
048,4.951,23.63
049,4.956,23.1
050,4.943,23.52
051,4.955,23.35
052,4.991,22.37
053,4.941,23.59
054,4.932,23.4
055,4.924,23.83
056,4.915,23.77
057,4.908,23.93
058,4.916,23.84
059,4.922,23.41
060,4.917,23.84
