epoch,loss,bleu
001,8.732,1.25
002,7.519,2.72
003,6.893,4.99
004,6.405,8.42
005,6.044,10.88
006,5.799,13.13
007,5.585,15.36
008,5.409,15.11
009,5.261,18.02
010,5.186,18.9
011,5.107,19.48
012,5.065,20.75
013,5.105,19.29
014,4.992,21.45
015,4.978,21.5
016,4.952,21.89
017,4.943,22.48
018,4.922,22.71
019,4.929,22.38
020,4.914,22.75
021,4.903,22.94
022,4.937,21.35
023,4.908,23.06
024,4.905,22.79
025,4.896,23.4
026,4.908,22.56
027,4.897,23.24
028,4.906,23.03
029,4.91,23.33
030,4.907,23.32
031,4.912,23.26
032,4.933,23.06
