epoch,loss,bleu
001,9.336,0.81
002,8.236,1.69
003,7.6,2.57
004,7.173,4.3
005,6.859,5.51
006,6.651,6.66
007,6.489,6.69
008,6.431,6.45
009,6.298,7.75
010,6.208,8.93
011,6.16,8.18
012,6.094,9.48
013,6.08,9.67
014,6.022,9.39
015,5.987,10.09
016,5.972,9.8
017,5.934,10.48
018,5.905,10.45
019,5.893,10.53
020,5.871,11.13
021,5.855,11.03
022,5.878,9.71
023,5.829,10.76
024,5.835,10.41
025,5.802,11.33
026,5.798,10.96
027,5.802,10.75
028,5.768,11.72
029,5.761,11.82
030,5.754,11.84
031,5.767,10.85
032,5.739,12.18
033,5.731,12.02
034,5.724,12.08
035,5.716,12
036,5.718,12.44
037,5.709,11.83
038,5.719,12.38
039,5.702,12.45
040,5.694,12.4
041,5.691,12.18
042,5.696,12.42
043,5.688,12.69
044,5.677,12.56
045,5.674,12.6
046,5.679,12.63
047,5.67,12.37
048,5.669,12.47
049,5.665,12.56
050,5.665,12.47
051,5.668,12.26
052,5.669,12.81
053,5.663,12.55
054,5.674,12.06
055,5.659,12.08
056,5.655,12.31
057,5.641,12.63
058,5.645,13.11
059,5.646,13.03
060,5.644,12.97
