epoch,loss,bleu
001,8.67,1.76
002,7.327,6.2
003,6.456,10.36
004,5.956,13.74
005,5.532,18.03
006,5.327,19.81
007,5.136,22.09
008,4.989,23.53
009,4.867,24.85
010,4.774,25.83
011,4.707,26.37
012,4.658,26.64
013,4.593,27.87
014,4.559,27.9
015,4.537,28.39
016,4.473,29.42
017,4.456,29.55
018,4.42,29.98
019,4.412,29.74
020,4.379,30.17
021,4.363,30.39
022,4.345,30.89
023,4.318,31.21
024,4.311,31.28
025,4.289,31.36
026,4.291,31.53
027,4.263,31.91
028,4.252,31.86
029,4.245,31.89
030,4.233,32.21
031,4.223,32.36
032,4.212,32.36
033,4.203,32.63
034,4.202,32.25
035,4.193,32.53
036,4.179,32.86
037,4.184,32.65
038,4.163,33.04
039,4.189,32.21
040,4.169,32.78
041,4.148,33.28
042,4.142,33.31
043,4.129,33.45
044,4.137,33.55
045,4.126,33.5
046,4.121,33.55
047,4.116,33.76
048,4.11,33.79
049,4.113,33.46
050,4.104,33.56
051,4.098,33.97
052,4.087,34.01
053,4.089,33.83
054,4.092,33.84
055,4.085,34.13
056,4.073,34.18
057,4.073,34.2
058,4.074,34.14
059,4.073,33.96
060,4.064,34.29
